ID,Tweets,clean_tweets,Social,Historical,Dehumanization,Accusation,Attack,Loyalty,Threat
1574973048729800704,"Kutunggu mereka kalo berani jd pemberontak ? 
Taek semua itu cuma modal bacot",ku tunggu berani berontak taek modal banyak bicara,0,0,1,1,0,0,0
1574688073275035648,@MrsRachelIn @M45Broo_ @AllenWa51704921 Ditebar masif masak pemerintah TIDAK TAHU ???,tebar masif masak perintah,0,0,0,0,0,0,0
1574686778594054144,"@MrsRachelIn @M45Broo_ @AllenWa51704921 Khilafah semakin nekat di NKRI 
...hrs disikat habis",khilafah nekat nkri sikat habis,0,0,0,1,0,0,0
1574643686314737664,"@Manse_Mangat @ekowboy2 Mau jd pemimpin ? 
Wong edan bisanya merampok APBD",pimpin edan rampok apbd,0,0,0,1,0,0,0
1574642947588755456,"@FachryA30708802 @ekowboy2 Mau merusak negeri ? 
Kan bangsat calon pemimpin spt itu",rusak negeri bangsat calon pimpin,0,0,0,1,0,0,0
1574640440393207809,@JafYaya2150 @alextham878 @kadrunbinpekok Kekuasaan kok diburu mati2 an ...sementara dia tdk punya keampuan dan dukungan dr rakyat,kuasa buru mati an ampu dukung dr rakyat,0,0,0,0,0,0,1
1574610619898404866,@Ghurem2 Wong EDAN msh banyak bacot sdh pensiun... GAGAL TOTAL,edan banyak bicara pensiun gagal total,0,0,0,0,0,0,0
1574610297415143424,@M_Katjasungkana @arifin34533 @sjahtie Sampe mereka matipun tdk akan bisa jd penguasa kalo pola pikirnya spt itu,mati kuasa pola pikir,0,0,0,0,0,0,0
1574608557118722048,@RAISYAELBIX1s Kumpulan tukang sedot APBD lg bacot ....,kumpul tukang sedot apbd banyak bicara,0,0,0,1,0,0,0
1574606930722848769,@sjahtie Wong gak waras bebas teriak apapun,waras bebas teriak apa,0,0,0,0,0,0,0
1574606320862633984,@__AnakKolong Kebo giro berwujud manusia,kebo giro wujud manusia,0,0,0,0,0,0,0
1574605835640385536,"@MrsRachelIn Kalo tetap dijemput mau apa ? 
Masak negara kalah dng koruptor ? 
DIBEDIL AJA KOROPTORNYA BERES !!!",jemput masak negara kalah dng koruptor bedil koroptornya beres,0,0,0,1,0,0,0
1574313088215818240,"@Cintada16 Banyak banget PENJAHAT YG MEMBANGKANG, MELAWAN HUKUM !!!",jahat bangkang lawan hukum,0,0,0,1,0,0,0
1574307222745919488,"Tetap bersyukur kpd Allah atas semua nikmat ini, NKRI tetap hebat tetap jaya ",syukur allah nikmat nkri hebat jaya,1,0,0,0,0,0,0
1574268329501794310,@Frans_Priyo @Relawananies w o i i i https://t.co/odkRO94xaL,w o i i i,0,0,0,0,0,0,0
1574261654950649859,"@KaredokLeunca__ Betul Maaak 
Bonusnya satu lg punya Rumah Hantu ",maaak bonus rumah hantu,0,0,1,0,0,0,0
1574233382036582405,@FaGtng Duluuuu ...bisa memimpin negara dng santai tanpa kerja keras dan tanpa kwalitas ...skrg jamane wes bedo ...rakyat sdh cerdas,duluuuu pimpin negara dng santai kerja keras kwalitas skrg jamane wes bedo rakyat cerdas,0,0,0,0,0,0,0
